n,old,new
2,2019/02/08/announcing-the-small-basic-online-1-0-public-preview/,Announcing-Small-Basic-Online-1-0-Public-Preview/ba-p/353682
3,2019/01/25/play-with-morse-code-in-small-basic-2/,Play-with-Morse-Code-in-Small-Basic-2/ba-p/338245
4,2019/01/19/play-with-morse-code-in-small-basic-1/,Play-with-Morse-Code-in-Small-Basic-1/ba-p/338242
5,2019/01/12/january-2019-small-basic-challenges/,January-2019-Small-Basic-Challenges/ba-p/338238
6,2019/01/10/who-will-be-announced-as-the-next-small-basic-guru-read-more-about-the-january-2019-competition/,Who-will-be-announced-as-the-next-Small-Basic-Guru-Read-more/ba-p/338237
7,2019/01/05/drawing-many-shapes-with-combination-of-small-basic-shapes/,Drawing-Many-Shapes-with-Combination-of-Small-Basic-Shapes/ba-p/338236
8,2018/12/21/december-small-basic-challenges/,December-Small-Basic-Challenges/ba-p/338229
9,2018/12/20/who-will-be-announced-as-the-next-small-basic-guru-read-more-about-december-2018-competition/,Who-will-be-announced-as-the-next-Small-Basic-Guru-Read-more/ba-p/338228
10,2018/11/09/exospheric-freight-service-small-basic-featured-game/,Exospheric-Freight-Service-Small-Basic-Featured-Game/ba-p/338227
11,2018/11/07/do-you-want-to-be-announced-as-the-next-small-basic-guru-read-about-the-technet-november-2018-competition/,Do-you-want-to-be-announced-as-the-next-Small-Basic-Guru-Read/ba-p/338224
12,2018/11/05/small-basic-november-code-challenges/,Small-Basic-November-Code-Challenges/ba-p/338222
13,2018/10/23/10th-anniversary-of-small-basic/,10th-Anniversary-of-Small-Basic/ba-p/338221
14,2018/10/19/small-basic-guru-competition-october-2018/,Small-Basic-Guru-Competition-October-2018/ba-p/338219
15,2018/10/18/small-basic-challenges-october-2018/,Small-Basic-Challenges-October-2018/ba-p/338217
16,2018/09/23/new-update-small-basic-website-2-1-small-basic-online-0-91/,NEW-UPDATES-Small-Basic-Website-2-1-Small-Basic-Online-0-91/ba-p/338216
17,2018/09/15/small-basic-bring-on-the-snail-shells-and-anemones/,Small-Basic-Bring-on-the-Snail-Shells-and-Animated-Anemones/ba-p/338212
18,2018/09/12/september-2018-small-basic-challenges/,September-2018-Small-Basic-Challenges-Ellipses-Snail-Shells/ba-p/338211
19,2018/09/11/who-will-be-announced-as-the-next-small-basic-guru-read-more-about-september-2018-competition/,Who-will-be-announced-as-the-next-Small-Basic-Guru-Read-more/ba-p/338210
20,2018/08/28/new-release-small-basic-online-public-preview-v0-9/,NEW-RELEASE-Small-Basic-Online-Public-Preview-v0-9/ba-p/338209
21,2018/08/27/last-week-for-the-august-small-basic-code-challenges/,Last-week-for-the-August-Small-Basic-Code-Challenges/ba-p/338204
22,2018/08/26/last-call-for-the-august-2018-small-basic-guru/,Last-call-for-the-August-2018-Small-Basic-Guru/ba-p/338203
23,2018/07/26/announcement-welcome-to-small-basic-website-2-0/,Announcement-Welcome-to-Small-Basic-Website-2-0/ba-p/338202
24,2018/07/22/who-will-be-announced-as-the-next-small-basic-guru-read-more-about-july-2018-competition/,Who-will-be-announced-as-the-July-2018-Small-Basic-Guru/ba-p/338200
25,2018/07/21/small-basic-monthly-challenges-july-2018/,Small-Basic-Monthly-Challenges-July-2018/ba-p/338199
26,2018/07/20/why-was-small-basic-1-3-released-in-uwp-and-addressing-the-communitys-concerns/,Why-was-Small-Basic-1-3-released-in-UWP-And-addressing-the/ba-p/338198
27,2018/07/18/small-basic-textwindow-and-keyboard-shortcuts/,Small-Basic-TextWindow-and-Keyboard-Shortcuts/ba-p/338197
28,2018/07/12/simakovs-click-the-button-small-basic-featured-program/,Simakov-s-Click-the-button-Small-Basic-Featured-Program/ba-p/338195
29,2018/06/26/search-small-basic-code-with-bing/,Search-Small-Basic-Code-with-Bing/ba-p/338192
30,2018/06/08/match-colours-or-symbols-small-basic-featured-program/,Match-Colours-or-Symbols-Small-Basic-Featured-Program/ba-p/338188
31,2018/06/01/method-to-convert-binary/,Method-to-Convert-Binary/ba-p/338184
32,2018/05/11/helper-to-solve-chaos-su-do-ku-small-basic-featured-program/,Helper-to-solve-Chaos-Su-Do-Ku-Small-Basic-featured-program/ba-p/338182
33,2018/04/27/small-basic-prime-extended-ide/,Small-Basic-Prime-extended-IDE/ba-p/338177
34,2018/04/22/small-basic-draw-circle-game/,Small-Basic-Draw-Circle-Game/ba-p/338173
35,2018/04/11/shapes-editor-using-polygon-for-small-basic/,Shapes-Editor-using-Polygon-for-Small-Basic/ba-p/338171
36,2018/04/07/who-will-be-announced-as-the-next-small-basic-guru-read-more-about-april-2018-competition/,Who-will-be-announced-as-the-next-Small-Basic-Guru-Read-more/ba-p/338168
37,2018/04/06/small-basic-monthly-challenges-april-2018/,Small-Basic-Monthly-Challenges-April-2018/ba-p/338166
38,2018/04/01/traffic-jam-simulation-with-small-basic/,Traffic-Jam-Simulation-with-Small-Basic/ba-p/338165
39,2018/02/16/reading-and-writing-html-with-small-basic/,Reading-and-Writing-HTML-with-Small-Basic/ba-p/338162
40,2018/01/30/small-basic-reference-updated-in-technet-wiki/,Small-Basic-Reference-Updated-in-TechNet-Wiki/ba-p/338161
41,2018/01/25/face-animation-with-small-basic/,Face-Animation-with-Small-Basic/ba-p/338160
42,2018/01/12/how-to-find-author-from-flickr-url-with-small-basic/,How-to-find-author-from-Flickr-URL-with-Small-Basic/ba-p/338158
43,2017/12/21/compose-your-own-music-with-small-basic/,Compose-Your-Own-Music-with-Small-Basic/ba-p/338157
44,2017/12/15/slide-show-with-small-basic/,Slide-Show-with-Small-Basic/ba-p/338154
45,2017/12/08/gui-designer-small-basic-featured-program/,GUI-Designer-Small-Basic-Featured-Program/ba-p/338151
46,2017/11/30/write-a-new-year-greeting-program-in-small-basic/,Write-a-new-year-greeting-program-in-Small-Basic/ba-p/338149
47,2017/10/29/draw-a-picture-of-halloween-with-small-basic/,Draw-a-Picture-of-Halloween-with-Small-Basic/ba-p/338147
48,2017/10/23/9th-anniversary-of-small-basic/,9th-Anniversary-of-Small-Basic/ba-p/338145
49,2017/10/10/small-basic-challenges-of-the-month-october-2017/,Small-Basic-Challenges-of-the-Month-October-2017/ba-p/338143
50,2017/10/09/who-will-be-announced-the-october-2017-small-basic-guru/,Who-will-be-announced-the-October-2017-Small-Basic-Guru/ba-p/338142
51,2017/09/25/contribute-for-new-programmers-with-technet-wiki-small-basic-articles/,Contribute-for-New-Programmers-with-TechNet-Wiki-Small-Basic/ba-p/338141
52,2017/09/19/what-is-small-basic-featured-video/,What-is-Small-Basic-Featured-Video/ba-p/338139
53,2017/09/13/small-basic-microbit/,Small-Basic-micro-bit/ba-p/338138
54,2017/09/06/new-tutorial-creative-coding-with-small-basic/,New-Tutorial-Creative-Coding-with-Small-Basic/ba-p/338134
55,2017/09/05/september-2017-small-basic-monthly-challenges/,September-2017-Small-Basic-Monthly-Challenges/ba-p/338132
56,2017/09/04/small-basic-with-xamarin-workbooks/,Small-Basic-with-Xamarin-Workbooks/ba-p/338130
57,2017/09/01/who-will-be-announced-the-next-microsoft-small-basic-guru-read-more-about-september-2017-competition/,Who-will-be-announced-the-next-Microsoft-Small-Basic-Guru-Read/ba-p/338126
58,2017/08/30/small-basic-guru-winning-articles-for-july-2017/,Small-Basic-Guru-Winning-Articles-for-July-2017/ba-p/338125
59,2017/08/28/you-can-be-a-girl-who-writes-code-and-wears-makeup/,You-can-be-a-girl-who-writes-code-and-wears-makeup/ba-p/338121
60,2017/08/28/play-with-microbit-and-small-basic/,Play-with-micro-bit-and-Small-Basic/ba-p/338120
61,2017/08/27/computer-science-in-education-women-and-men-brains/,Computer-Science-in-Education-Women-and-Men-Brains/ba-p/338117
62,2017/08/25/last-week-of-the-august-2017-small-basic-monthly-challenges/,Last-week-of-the-August-2017-Small-Basic-Monthly-Challenges/ba-p/338115
63,2017/08/21/small-basic-mystery-of-round-operation/,Small-Basic-Mystery-of-Round-Operation/ba-p/338114
64,2017/08/14/small-basic-1-3-quick-review/,Small-Basic-1-3-Quick-Review/ba-p/338113
65,2017/08/07/small-basic-1-3-available-now/,Small-Basic-1-3-for-Microsoft-Store-available-now/ba-p/338112
66,2017/07/31/book-info-reviews-beginning-microsoft-small-basic-a-computer-programming-tutorial-by-philip-conrod-lou-tylee/,Book-Info-Reviews-8220-Beginning-Microsoft-Small-Basic-A/ba-p/338110
67,2017/07/24/small-basic-graduate-with-vs2017/,Small-Basic-Graduate-with-VS2017/ba-p/338107
68,2017/07/18/who-will-be-announced-the-next-microsoft-small-basic-guru-read-more-about-july-2017-competition/,Who-will-be-announced-the-next-Microsoft-Small-Basic-Guru-Read/ba-p/338105
69,2017/07/12/small-basic-challenges-of-the-month-july-2017/,Small-Basic-Challenges-of-the-Month-July-2017/ba-p/338104
70,2017/07/09/small-basic-teaching-girls-to-code-what-are-we-doing-and-where-are-we-headed/,Small-Basic-Teaching-Girls-to-Code-What-are-we-doing-and-where/ba-p/338103
71,2017/07/04/small-basic-textbox-ux-part-2/,Small-Basic-Textbox-UX-Part-2/ba-p/338102
72,2017/06/28/finish-june-strong-small-basic-challenges-and-guru-wiki-contest/,Finish-June-Strong-Small-Basic-Challenges-and-Guru-Wiki-Contest/ba-p/338099
73,2017/06/25/other-small-basic-system/,Other-Small-Basic-Systems/ba-p/338098
